Sl. No.,State,Abbreviation
1,Andhra Pradesh,AP
2,Arunachal Pradesh,AR
3,Assam,AS
4,Bihar,BR
5,Chhattisgarh,CT
6,Goa,GA
7,Gujarat,GJ
8,Haryana,HR
9,Himachal Pradesh,HP
10,Jammu and Kashmir,JK
11,Jharkhand,JH
12,Karnataka,KA
13,Kerala,KL
14,Madhya Pradesh,MP
15,Maharashtra,MH
16,Manipur,MN
17,Meghalaya,ML
18,Mizoram,MZ
19,Nagaland,NL
20,Odisha,OR
21,Punjab,PB
22,Rajasthan,RJ
23,Sikkim,SK
24,Tamil Nadu,TN
25,Tripura,TR
26,Uttarakhand,UT
27,Uttar Pradesh,UP
28,West Bengal,WB
29,Telangana,TG
30,Andaman and Nicobar Islands,AN
31,Chandigarh,CH
32,Dadra and Nagar Haveli,DN
33,Daman and Diu,DD
34,Delhi,DL
35,Lakshadweep,LD
36,Puducherry,PY
